date	Air Bombardment	Artillery	Asphyxiation	Beating or Stabbing	Burned	Chemical	Crushed	Execution	Gun Shot	Mine	Missiles	Other	Refusal to Follow Orders	Resource Outage	Sniper	Stress	Torture	Unspecified	Wounds
2011-05-15	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.903225806452	0.0	0.0	0.0	0.0645161290323	0.0	0.0322580645161	0.0	0.0	0.0	0.0
2011-05-16	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.733333333333	0.0	0.0	0.0	0.0	0.0	0.0666666666667	0.0	0.133333333333	0.0	0.0666666666667
2011-05-17	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.833333333333	0.0	0.0	0.0	0.125	0.0	0.0	0.0	0.0	0.0	0.0416666666667
2011-05-18	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.37037037037	0.0	0.0	0.0	0.333333333333	0.0	0.0	0.0	0.259259259259	0.0	0.037037037037
2011-05-19	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.611111111111	0.0	0.0	0.0	0.166666666667	0.0	0.0555555555556	0.0	0.166666666667	0.0	0.0
2011-05-20	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.959183673469	0.0	0.0	0.0	0.0204081632653	0.0	0.0204081632653	0.0	0.0	0.0	0.0
2011-05-21	0.0	0.0	0.04	0.0	0.04	0.0	0.0	0.0	0.64	0.0	0.0	0.0	0.08	0.0	0.0	0.0	0.2	0.0	0.0
2011-05-22	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.3	0.0	0.0	0.0	0.1	0.0	0.0	0.0	0.6	0.0	0.0
2011-05-23	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.6	0.0	0.0
2011-05-24	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.25	0.0	0.0	0.0	0.0	0.0	0.125	0.0	0.625	0.0	0.0
